Pu,Plutonium,94,"silvery white, tarnishing to dark gray in air","actinide","" 
Am,Americium,95,"silvery white","actinide","" 
Cm,Curium,96,"silvery metallic, glows purple in the dark","actinide","" 
Bk,Berkelium,97,"silvery","actinide","" 
Cf,Californium,98,"silvery","actinide","" 
Es,Einsteinium,99,"silver-colored","actinide","" 
Fm,Fermium,100,"None","actinide","" 
Md,Mendelevium,101,"None","actinide","" 
No,Nobelium,102,"None","actinide","" 
Lr,Lawrencium,103,"None","actinide","" 
Rf,Rutherfordium,104,"None","transition metal","" 
Db,Dubnium,105,"None","transition metal","" 
Sg,Seaborgium,106,"None","transition metal","" 
Bh,Bohrium,107,"None","transition metal","" 
Hs,Hassium,108,"None","transition metal","" 
Mt,Meitnerium,109,"None","unknown, probably transition metal","" 
Ds,Darmstadtium,110,"None","unknown, probably transition metal","" 
Rg,Roentgenium,111,"None","unknown, probably transition metal","" 
Cn,Copernicium,112,"None","transition metal","" 
Nh,Nihonium,113,"None","unknown, probably transition metal","" 
Fl,Flerovium,114,"None","post-transition metal","" 
Mc,Moscovium,115,"None","unknown, probably post-transition metal","" 
Lv,Livermorium,116,"None","unknown, probably post-transition metal","" 
Ts,Tennessine,117,"None","unknown, probably metalloid","" 
Og,Oganesson,118,"None","unknown, predicted to be noble gas","" 
Uue,Ununennium,119,"None","unknown, but predicted to be an alkali metal","" 
